County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Philadelphia,Philadelphia,3  ,4  ,200  ,7092,8,In Progress
Allegheny,Pittsburgh,12  ,43  ,23  ,5919,92,In Progress
Philadelphia,Philadelphia,3  ,1  ,182  ,5430,6,In Progress
Erie,Millcreek Twp,16  ,49  ,3  ,5286,8,In Progress
Philadelphia,Philadelphia,3  ,7  ,194  ,4745,15,In Progress
Bucks,Lower Makefield Twp,1  ,10  ,31  ,4651,1,In Progress
Bucks,Bensalem Twp,1  ,6  ,18  ,4350,2,In Progress
Delaware,Haverford Twp,5  ,17  ,166  ,4341,0,In Progress
Montgomery,Abington Twp,4  ,4  ,153  ,4201,19,In Progress
Allegheny,Penn Hills,17  ,43  ,32  ,4027,71,In Progress
Philadelphia,Philadelphia,2  ,1  ,175  ,3917,6,In Progress
Allegheny,Mt Lebanon,17  ,42  ,42  ,3825,35,In Progress
Bucks,Middletown Twp,1  ,6  ,142  ,3812,0,In Progress
Bucks,Warminster Twp,1  ,6  ,144  ,3733,0,In Progress
Northampton,Bethlehem,7  ,18  ,135  ,3718,35,In Progress
Allegheny,Bethel Park,12  ,37  ,40  ,3647,44,In Progress
Philadelphia,Philadelphia,3  ,4  ,201  ,3617,9,In Progress
Bucks,Northampton Twp,1  ,6  ,178  ,3508,2,In Progress
Philadelphia,Philadelphia,3  ,7  ,192  ,3476,4,In Progress
Allegheny,Mccandless,17  ,38  ,30  ,3458,46,In Progress
Montgomery,Cheltenham Twp,4  ,4  ,154  ,3426,17,In Progress
Philadelphia,Philadelphia,3  ,3  ,195  ,3388,7,In Progress
Bucks,Bristol Twp,1  ,10  ,141  ,3370,1,In Progress
Philadelphia,Philadelphia,2  ,5  ,172  ,3294,9,In Progress
Lehigh,Lower Macungie,7  ,16  ,187  ,3269,35,In Progress
Allegheny,Ross,17  ,38  ,20  ,3248,37,In Progress
Bucks,Warrington Twp,1  ,6  ,144  ,3121,0,In Progress
Montgomery,Lower Merion Twp,4  ,17  ,148  ,3089,13,In Progress
Erie,Erie,16  ,49  ,1  ,3087,2,In Progress
Philadelphia,Philadelphia,2  ,5  ,170  ,3063,9,In Progress
Philadelphia,Philadelphia,3  ,8  ,186  ,3017,8,In Progress
Westmoreland,Hempfield Twp,14  ,39  ,57  ,2996,2,In Progress
Philadelphia,Philadelphia,3  ,1  ,184  ,2911,9,In Progress
Allegheny,Pittsburgh,12  ,42  ,19  ,2828,50,In Progress
Chester,Tredyffrin Twp,6  ,19  ,157  ,2797,7,In Progress
Allegheny,Monroeville,12  ,45  ,25  ,2750,34,In Progress
Northampton,Bethlehem Twsp,7  ,18  ,137  ,2740,18,In Progress
Montgomery,Lower Providence Twp,4  ,44  ,150  ,2733,14,In Progress
Philadelphia,Philadelphia,2  ,5  ,174  ,2703,6,In Progress
Montgomery,Upper Providence Twp,4  ,44  ,150  ,2697,17,In Progress
Allegheny,Shaler,17  ,38  ,21  ,2643,23,In Progress
Bucks,Newtown Twp,1  ,10  ,31  ,2637,2,In Progress
Westmoreland,Murrysville,12  ,39  ,55  ,2619,23,In Progress
Montgomery,Upper Merion Twp,5  ,17  ,149  ,2603,16,In Progress
Butler,Cranberry Twp,16  ,47  ,12  ,2595,8,In Progress
Bucks,Buckingham Twp,1  ,10  ,29  ,2593,4,In Progress
Bucks,Doylestown Twp,1  ,10  ,29  ,2581,0,In Progress
Allegheny,Pittsburgh,12  ,38  ,24  ,2542,42,In Progress
Dauphin,Susquehanna Twp,10  ,15  ,105   ,2532,0,In Progress
Lancaster,Manheim Twp,11  ,36  ,96  ,2520,1,In Progress
Philadelphia,Philadelphia,2  ,5  ,173  ,2510,10,In Progress
Cumberland,Hampden Twp,10  ,34  ,88  ,2493,2,In Progress
Lackawanna,Scranton,8  ,22  ,113  ,2475,1,In Progress
Bucks,Falls Twp,1  ,10  ,140  ,2447,0,In Progress
Allegheny,Moon,17  ,37  ,44  ,2383,35,In Progress
Montgomery,Lower Merion Twp,5  ,17  ,149  ,2373,9,In Progress
Delaware,Radnor Twp,5  ,17  ,168  ,2370,0,In Progress
Philadelphia,Philadelphia,3  ,7  ,190  ,2333,3,In Progress
Philadelphia,Philadelphia,3  ,8  ,188  ,2280,3,In Progress
Allegheny,Pittsburgh,12  ,43  ,24  ,2229,42,In Progress
Delaware,Upper Darby Twp,5  ,26  ,163  ,2212,1,In Progress
Dauphin,Lower Paxton Twp,10  ,15  ,105   ,2171,0,In Progress
Allegheny,Pittsburgh,12  ,42  ,27  ,2166,26,In Progress
Allegheny,Pittsburgh,12  ,42  ,36  ,2156,23,In Progress
Montgomery,Horsham Twp,1  ,12  ,151  ,2130,12,In Progress
Montgomery,Whitemarsh Twp,4  ,7  ,148  ,2126,8,In Progress
Erie,Erie,16  ,49  ,2  ,2091,4,In Progress
Montgomery,Lower Merion Twp,5  ,17  ,148  ,2075,17,In Progress
Northampton,Palmer,7  ,18  ,137  ,2050,16,In Progress
Montgomery,Springfield Twp,4  ,4  ,154  ,2043,15,In Progress
Lancaster,Hempfield East Twp,11  ,36  ,41  ,2004,1,In Progress
Montgomery,Montgomery Twp,1  ,12  ,151  ,1998,12,In Progress
Montgomery,Upper Gwynedd Twp,4  ,24  ,61  ,1970,6,In Progress
Montgomery,Towamencin Twp,4  ,24  ,61  ,1942,9,In Progress
Chester,West Goshen Twp,6  ,19  ,156  ,1899,1,In Progress
Allegheny,Robinson,17  ,37  ,45  ,1878,26,In Progress
Luzerne,Wilkes-Barre City,8  ,22  ,121  ,1874,24,In Progress
Dauphin,Lower Paxton Twp,10  ,15  ,125  ,1873,0,In Progress
Lehigh,Upper Saucon,7  ,16  ,131  ,1871,13,In Progress
Westmoreland,Unity Twp,14  ,39  ,59  ,1869,3,In Progress
Northampton,Forks,7  ,18  ,138  ,1867,17,In Progress
Westmoreland,North Huntingdon Twp,12  ,39  ,56  ,1863,22,In Progress
York,York Twp,11  ,28  ,93  ,1858,5,In Progress
Blair,Altoona,13  ,30  ,79  ,1850,9,In Progress
Lehigh,Whitehall,7  ,14  ,133  ,1847,22,In Progress
Montgomery,Upper Moreland Twp,4  ,12  ,152  ,1846,13,In Progress
Montgomery,Limerick Twp,4  ,24  ,146  ,1836,7,In Progress
Allegheny,Baldwin Boro,12  ,45  ,38  ,1834,29,In Progress
Dauphin,Derry Twp,10  ,15  ,106   ,1820,0,In Progress
Bucks,Warwick Twp,1  ,6  ,178  ,1817,0,In Progress
Philadelphia,Philadelphia,2  ,3  ,198  ,1811,3,In Progress
Westmoreland,Penn Twp,12  ,39  ,56  ,1806,1,In Progress
Montgomery,Upper Dublin Twp,4  ,12  ,153  ,1763,4,In Progress
Allegheny,Pittsburgh,12  ,42  ,21  ,1762,27,In Progress
Montgomery,Lower Gwynedd Twp,4  ,12  ,61  ,1751,12,In Progress
Montgomery,Whitpain Twp,4  ,12  ,61  ,1746,6,In Progress
Cumberland,Silver Spring Twp,10  ,34  ,87  ,1744,1,In Progress
Delaware,Springfield Twp,5  ,26  ,165  ,1721,0,In Progress
Lehigh,Upper Macungie,7  ,16  ,132  ,1719,13,In Progress
Washington,Peters Twp,14  ,46  ,40  ,1713,10,In Progress
Delaware,Newtown Twp,5  ,26  ,168  ,1706,0,In Progress
Chester,Uwchlan Twp,6  ,44  ,155  ,1697,4,In Progress
Cumberland,Upper Allen Twp,10  ,31  ,87  ,1678,4,In Progress
Chester,West Whiteland Twp,6  ,19  ,167  ,1675,4,In Progress
Delaware,Concord Twp,5  ,9  ,160  ,1655,1,In Progress
Montgomery,Upper Dublin Twp,4  ,12  ,151  ,1652,4,In Progress
Philadelphia,Philadelphia,3  ,7  ,10  ,1645,5,In Progress
Allegheny,Scott,17  ,42  ,27  ,1634,17,In Progress
Philadelphia,Philadelphia,3  ,1  ,175  ,1622,2,In Progress
Lackawanna,Scranton,8  ,22  ,114  ,1617,0,In Progress
Bucks,Hilltown Twp,1  ,16  ,143  ,1616,0,In Progress
Montgomery,Lower Salford Twp,4  ,24  ,147  ,1614,9,In Progress
Bucks,Solebury Twp,1  ,10  ,29  ,1613,0,In Progress
Allegheny,West Mifflin,12  ,45  ,38  ,1605,21,In Progress
Allegheny,Pittsburgh,12  ,43  ,36  ,1600,19,In Progress
Bucks,Upper Makefield Twp,1  ,10  ,31  ,1583,0,In Progress
Allegheny,Franklin Pk,17  ,37  ,30  ,1573,19,In Progress
Butler,Adams Twp,16  ,47  ,12  ,1564,4,In Progress
Montgomery,Hatfield Twp,1  ,12  ,53  ,1563,7,In Progress
Lancaster,Lampeter West Twp,11  ,13  ,97  ,1554,0,In Progress
Centre,Ferguson Twp,15  ,35  ,77  ,1548,4,In Progress
Allegheny,Whitehall,12  ,45  ,38  ,1543,20,In Progress
Erie,Harborcreek Twp,16  ,49  ,2  ,1529,3,In Progress
Lehigh,Allentown,7  ,14  ,132  ,1495,21,In Progress
Allegheny,North Fayette,17  ,37  ,44  ,1484,17,In Progress
Montgomery,Plymouth Twp,4  ,12  ,54  ,1480,10,In Progress
Delaware,Nether Providence Twp,5  ,9  ,161  ,1480,0,In Progress
Bucks,Upper Southampton Twp,1  ,6  ,178  ,1479,1,In Progress
Philadelphia,Philadelphia,5  ,8  ,185  ,1472,2,In Progress
York,Fairview Twp,10  ,31  ,92  ,1471,3,In Progress
York,West Manchester Twp,10  ,31  ,196  ,1464,85,In Progress
Lehigh,Bethlehem,7  ,18  ,133  ,1432,15,In Progress
Lehigh,Allentown,7  ,14  ,134  ,1425,15,In Progress
Cumberland,East Pennsboro Twp,10  ,34  ,103  ,1424,1,In Progress
Allegheny,South Fayette,17  ,37  ,46  ,1423,16,In Progress
Delaware,Middletown Twp,5  ,9  ,168  ,1415,1,In Progress
Allegheny,Pine,17  ,38  ,28  ,1407,13,In Progress
Delaware,Upper Darby Twp,5  ,26  ,164  ,1405,0,In Progress
Dauphin,Swatara Twp,10  ,15  ,104  ,1379,0,In Progress
Cumberland,Carlisle Boro,10  ,34  ,199  ,1375,2,In Progress
Allegheny,West Deer,17  ,38  ,28  ,1367,16,In Progress
Allegheny,Hampton,17  ,38  ,28  ,1365,14,In Progress
Philadelphia,Philadelphia,2  ,2  ,202  ,1359,6,In Progress
Centre,Patton Twp,15  ,35  ,77  ,1347,2,In Progress
Dauphin,Harrisburg,10  ,15  ,103  ,1336,0,In Progress
Bucks,Lower Southampton Twp,1  ,6  ,142  ,1306,2,In Progress
Bucks,Plumstead Twp,1  ,10  ,143  ,1301,1,In Progress
Montgomery,East Norriton Twp,4  ,17  ,70  ,1299,5,In Progress
Allegheny,Plum,12  ,45  ,32  ,1298,11,In Progress
Washington,Cecil Twp,14  ,46  ,46  ,1292,3,In Progress
Lehigh,North Whitehall,7  ,16  ,183  ,1283,10,In Progress
Montgomery,Skippack Twp,4  ,24  ,70  ,1270,7,In Progress
Philadelphia,Philadelphia,2  ,2  ,203  ,1270,1,In Progress
Mercer,Hermitage,16  ,50  ,7  ,1257,12,In Progress
Philadelphia,Philadelphia,3  ,8  ,191  ,1257,3,In Progress
Allegheny,Wilkinsburg,17  ,43  ,34  ,1245,20,In Progress
Bucks,Richland Twp,1  ,16  ,145  ,1237,1,In Progress
Delaware,Aston Twp,5  ,9  ,161  ,1231,0,In Progress
York,Manchester Twp,10  ,31  ,47  ,1230,6,In Progress
Lancaster,Warwick Twp,11  ,36  ,37  ,1224,0,In Progress
Northampton,Hanover,7  ,14  ,135  ,1215,8,In Progress
Delaware,Upper Providence Twp,5  ,26  ,165  ,1212,0,In Progress
Philadelphia,Philadelphia,2  ,2  ,177  ,1203,2,In Progress
Allegheny,South Park,12  ,37  ,39  ,1195,16,In Progress
Indiana,White,14  ,41  ,62  ,1195,0,In Progress
Centre,College Twp,15  ,25  ,82  ,1190,6,In Progress
Butler,Butler Twp,16  ,21  ,11  ,1185,1,In Progress
York,Windsor Twp,11  ,28  ,94  ,1183,1,In Progress
York,Dover Twp,10  ,31  ,196  ,1177,63,In Progress
Allegheny,Plum,12  ,45  ,25  ,1177,13,In Progress
Northampton,Easton,7  ,18  ,136  ,1172,7,In Progress
Delaware,Upper Chichester Twp,5  ,9  ,159  ,1172,0,In Progress
Allegheny,Ohara,17  ,38  ,33  ,1156,12,In Progress
Lehigh,South Whitehall,7  ,14  ,132  ,1153,4,In Progress
Chester,East Goshen Twp,6  ,19  ,156  ,1152,0,In Progress
Montgomery,New Hanover Twp,4  ,24  ,147  ,1134,4,In Progress
Chester,Phoenixville Boro,6  ,44  ,26  ,1132,3,In Progress
Cumberland,Lower Allen Twp,10  ,31  ,88  ,1129,1,In Progress
Montgomery,Pottstown Boro,4  ,24  ,146  ,1124,5,In Progress
Montgomery,Worcester Twp,4  ,12  ,70  ,1119,5,In Progress
Franklin,Greene Twp,13  ,33  ,89  ,1117,2,In Progress
Bucks,Middletown Twp,1  ,6  ,140  ,1115,0,In Progress
Lackawanna,Dunmore,8  ,22  ,112  ,1114,0,In Progress
Montgomery,Montgomery Twp,1  ,12  ,53  ,1110,2,In Progress
Lehigh,South Whitehall,7  ,16  ,132  ,1102,9,In Progress
Lehigh,Allentown,7  ,14  ,22  ,1098,18,In Progress
Philadelphia,Philadelphia,3  ,1  ,10  ,1096,6,In Progress
Berks,Exeter Twp,6  ,11  ,128  ,1096,2,In Progress
Monroe,Coolbaugh,8  ,40  ,115  ,1091,23,In Progress
Montgomery,Lower Moreland Twp,4  ,12  ,152  ,1084,5,In Progress
Pike,Dingman Twp,8  ,20  ,139  ,1084,0,In Progress
Montgomery,Norristown Boro,5  ,17  ,54  ,1080,6,In Progress
Philadelphia,Philadelphia,3  ,4  ,194  ,1080,4,In Progress
Berks,Muhlenberg Twp,4  ,11  ,126  ,1078,0,In Progress
Philadelphia,Philadelphia,2  ,3  ,181  ,1076,2,In Progress
Allegheny,Richland,17  ,38  ,28  ,1075,9,In Progress
York,Springettsbury Twp,10  ,28  ,94  ,1072,2,In Progress
Chester,West Bradford Twp,6  ,19  ,158  ,1071,1,In Progress
Allegheny,Pittsburgh,12  ,43  ,19  ,1069,20,In Progress
Bucks,Doylestown Boro,1  ,10  ,29  ,1062,0,In Progress
Lehigh,Upper Milford,7  ,16  ,131  ,1060,8,In Progress
Monroe,Chestnuthill,8  ,40  ,176  ,1059,38,In Progress
Montgomery,Lower Pottsgrove Twp,4  ,24  ,146  ,1053,1,In Progress
Montgomery,West Norriton Twp,4  ,17  ,70  ,1052,8,In Progress
Allegheny,Jefferson Hills,12  ,37  ,39  ,1048,16,In Progress
Chester,Upper Uwchlan Twp,6  ,44  ,155  ,1044,1,In Progress
Westmoreland,Greensburg,14  ,39  ,57  ,1040,37,In Progress
Erie,Fairview Twp,16  ,49  ,3  ,1023,3,In Progress
Allegheny,Upper St Clair,12  ,37  ,42  ,1019,6,In Progress
Delaware,Ridley Twp,5  ,26  ,162  ,1014,0,In Progress
Allegheny,Kennedy,17  ,42  ,45  ,1010,10,In Progress
Montgomery,Lansdale Boro,4  ,12  ,53  ,1007,5,In Progress
Chester,Willistown Twp,6  ,19  ,157  ,1001,3,In Progress
York,York City,10  ,31  ,95  ,1001,2,In Progress
Fayette,South Union Twp,14  ,32  ,51  ,1000,0,In Progress
Allegheny,Elizabeth Twp,12  ,45  ,39  ,997,5,In Progress
Philadelphia,Philadelphia,2  ,1  ,182  ,993,1,In Progress
Berks,Wyomissing Boro,6  ,11  ,129  ,989,4,In Progress
Lancaster,Lancaster City,11  ,13  ,96  ,989,0,In Progress
York,Penn Twp,11  ,28  ,169  ,984,3,In Progress
Chester,East Bradford Twp,6  ,19  ,156  ,982,1,In Progress
Allegheny,Collier,17  ,37  ,45  ,978,10,In Progress
Franklin,Guilford Twp,13  ,33  ,89  ,974,1,In Progress
Northampton,Bushkill Twsp,7  ,14  ,138  ,970,8,In Progress
Delaware,Marple Twp,5  ,26  ,165  ,966,1,In Progress
Franklin,Chambersburg Boro,13  ,33  ,89  ,964,2,In Progress
Lancaster,Lancaster Twp,11  ,13  ,49  ,955,0,In Progress
Westmoreland,Rostraver Twp,14  ,39  ,58  ,952,0,In Progress
Beaver,Hopewell Twp,17  ,47  ,16  ,951,1,In Progress
Allegheny,Ohio,17  ,37  ,30  ,948,11,In Progress
Berks,Spring Twp,6  ,11  ,129  ,948,3,In Progress
Beaver,Center Twp,17  ,47  ,16  ,943,4,In Progress
Chester,East Whiteland Twp,6  ,44  ,167  ,939,1,In Progress
