County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Montgomery,Abington Twp,4,4,153,4634,88,In Progress
Montgomery,Cheltenham Twp,4,4,154,3754,108,In Progress
Montgomery,Lower Merion Twp,4,17,148,3435,88,In Progress
Montgomery,Upper Providence Twp,4,44,150,3182,38,In Progress
Montgomery,Lower Providence Twp,4,44,150,3099,42,In Progress
Butler,Cranberry Twp,16,47,12,3063,38,In Progress
Lackawanna,Scranton,8,22,113,2937,0,In Progress
Montgomery,Upper Merion Twp,5,17,149,2931,38,In Progress
Cumberland,Hampden Twp,10,34,88,2656,76,In Progress
Montgomery,Lower Merion Twp,5,17,149,2648,83,In Progress
Montgomery,Whitemarsh Twp,4,7,148,2363,32,In Progress
Montgomery,Montgomery Twp,1,12,151,2303,31,In Progress
Montgomery,Lower Merion Twp,5,17,148,2263,75,In Progress
Montgomery,Springfield Twp,4,4,154,2245,46,In Progress
Montgomery,Horsham Twp,1,12,151,2240,36,In Progress
Montgomery,Upper Gwynedd Twp,4,24,61,2234,38,In Progress
Montgomery,Towamencin Twp,4,24,61,2208,22,In Progress
Montgomery,Limerick Twp,4,24,146,2126,27,In Progress
Montgomery,Upper Moreland Twp,4,12,152,2079,39,In Progress
Montgomery,Whitpain Twp,4,12,61,1985,23,In Progress
Montgomery,Lower Gwynedd Twp,4,12,61,1970,37,In Progress
Cumberland,Silver Spring Twp,10,34,87,1859,39,In Progress
Butler,Adams Twp,16,47,12,1822,31,In Progress
Lackawanna,Scranton,8,22,114,1822,4,In Progress
Cumberland,Upper Allen Twp,10,31,87,1789,45,In Progress
Montgomery,Hatfield Twp,1,12,53,1771,21,In Progress
Montgomery,Upper Dublin Twp,4,12,151,1766,28,In Progress
Montgomery,Upper Dublin Twp,4,12,153,1737,25,In Progress
Montgomery,Lower Salford Twp,4,24,147,1676,24,In Progress
Montgomery,Plymouth Twp,4,12,54,1605,29,In Progress
Montgomery,Skippack Twp,4,24,70,1502,13,In Progress
Cumberland,East Pennsboro Twp,10,34,103,1498,40,In Progress
Montgomery,East Norriton Twp,4,17,70,1475,18,In Progress
Cumberland,Carlisle Boro,10,34,199,1434,44,In Progress
Montgomery,Worcester Twp,4,12,70,1306,18,In Progress
Montgomery,New Hanover Twp,4,24,147,1290,12,In Progress
Montgomery,Pottstown Boro,4,24,146,1264,24,In Progress
Montgomery,Montgomery Twp,1,12,53,1263,32,In Progress
Lackawanna,Dunmore,8,22,112,1249,2,In Progress
Butler,Butler Twp,16,21,11,1224,17,In Progress
Montgomery,Norristown Boro,5,17,54,1220,23,In Progress
Montgomery,Lower Moreland Twp,4,12,152,1213,16,In Progress
Indiana,White,14,41,62,1211,3,In Progress
Montgomery,West Norriton Twp,4,17,70,1186,5,In Progress
Montgomery,Lower Pottsgrove Twp,4,24,146,1179,17,In Progress
Montgomery,Lansdale Boro,4,12,53,1160,8,In Progress
Cumberland,Lower Allen Twp,10,31,88,1155,45,In Progress
Montgomery,Perkiomen Twp,4,24,70,1054,9,In Progress
Lycoming,City Of Williamsport,9,23,83,948,7,In Progress
Montgomery,Abington Twp,4,4,152,935,10,In Progress
Cumberland,North Middleton Twp,10,34,199,922,26,In Progress
Cumberland,South Middleton Twp,10,34,87,909,23,In Progress
Lackawanna,South Abington,8,22,114,898,1,In Progress
Montgomery,Upper Hanover Twp,1,24,131,827,8,In Progress
Montgomery,Franconia Twp,1,12,147,798,8,In Progress
Montgomery,Douglass Twp,4,24,147,797,11,In Progress
Montgomery,Hatboro Boro,4,12,152,794,9,In Progress
Lackawanna,Old Forge,8,22,118,792,1,In Progress
Lackawanna,Archbald,8,40,112,742,1,In Progress
Lycoming,Loyalsock Twp,9,23,83,736,7,In Progress
Cumberland,Camp Hill Boro,10,34,103,731,17,In Progress
Montgomery,Franconia Twp,1,12,53,690,4,In Progress
